increment,branch,stress_component,order,directions,direction_pattern,recovery_factor,oti_derivative,oti_normalized,reference_value,reference_normalized,reference_classification,plateau_points,plateau_step_low,plateau_step_high,plateau_absolute_uncertainty,plateau_relative_uncertainty,steps_swept,steps_admissible,steps_rejected_for_branch_crossing,branch_consistent_over_admissible_steps,zero_support_strength,source_proof_kind,structurally_invariant,affine_in_directions,affine_residual_over_rounding_floor,high_precision_value,absolute_error,relative_error,agreement_tolerance,agrees_with_reference,supports_verification,reference_justification
1,elastic,1,2,1|1,repeated,2,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,2.5e-06,1e-05,3.814697265625e-06,4.0,9,6,3,True,strong,source_affine_branch,False,True,0.0,,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: source_affine_branch -- In the elastic branch the update is STRESS = STRESS + DDSDDE . DSTRAN with a
DDSDDE assembled only from the constant moduli, before any yield test. The
response is therefore exactly affine in DSTRAN on this branch, so every
derivative of order two and above vanishes identically -- not merely at the
points that were sampled. UMAT_PCLK.for lines 92-112: DDSDDE is built from EMOD=PROPS(1) and ENU=PROPS(2), then STRESS(K2)=STRESS(K2)+DDSDDE(K2,K1)*DSTRAN(K1) is applied before SMISES and the yield test. Branch consistency was verified at every stencil node of every admissible step, so the cited branch is the branch that was sampled."
1,elastic,2,2,1|1,repeated,2,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,1e-05,4e-05,1.079612411558628e-05,6.755390442890443,9,6,3,True,strong,source_affine_branch,False,True,0.206344907496967,,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: source_affine_branch -- In the elastic branch the update is STRESS = STRESS + DDSDDE . DSTRAN with a
DDSDDE assembled only from the constant moduli, before any yield test. The
response is therefore exactly affine in DSTRAN on this branch, so every
derivative of order two and above vanishes identically -- not merely at the
points that were sampled. UMAT_PCLK.for lines 92-112: DDSDDE is built from EMOD=PROPS(1) and ENU=PROPS(2), then STRESS(K2)=STRESS(K2)+DDSDDE(K2,K1)*DSTRAN(K1) is applied before SMISES and the yield test. Branch consistency was verified at every stencil node of every admissible step, so the cited branch is the branch that was sampled."
1,elastic,3,2,1|1,repeated,2,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,2e-05,8e-05,4.964647814631462e-06,0.8944211409395973,9,6,3,True,strong,source_affine_branch,False,True,0.05609506603441055,,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: source_affine_branch -- In the elastic branch the update is STRESS = STRESS + DDSDDE . DSTRAN with a
DDSDDE assembled only from the constant moduli, before any yield test. The
response is therefore exactly affine in DSTRAN on this branch, so every
derivative of order two and above vanishes identically -- not merely at the
points that were sampled. UMAT_PCLK.for lines 92-112: DDSDDE is built from EMOD=PROPS(1) and ENU=PROPS(2), then STRESS(K2)=STRESS(K2)+DDSDDE(K2,K1)*DSTRAN(K1) is applied before SMISES and the yield test. Branch consistency was verified at every stencil node of every admissible step, so the cited branch is the branch that was sampled."
1,elastic,4,2,1|1,repeated,2,0.0,0.0,0.0,0.0,expected_zero_independently_supported,6,2.5e-06,8e-05,0.0,0.0,9,6,3,True,strong,source_affine_branch,True,True,0.0,,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: source_affine_branch -- In the elastic branch the update is STRESS = STRESS + DDSDDE . DSTRAN with a
DDSDDE assembled only from the constant moduli, before any yield test. The
response is therefore exactly affine in DSTRAN on this branch, so every
derivative of order two and above vanishes identically -- not merely at the
points that were sampled. UMAT_PCLK.for lines 92-112: DDSDDE is built from EMOD=PROPS(1) and ENU=PROPS(2), then STRESS(K2)=STRESS(K2)+DDSDDE(K2,K1)*DSTRAN(K1) is applied before SMISES and the yield test. Branch consistency was verified at every stencil node of every admissible step, so the cited branch is the branch that was sampled."
1,elastic,1,3,1|1|1,repeated,6,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,5e-06,2e-05,170.0625,8.503125,9,6,3,True,strong,source_affine_branch,False,True,0.0,,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: source_affine_branch -- In the elastic branch the update is STRESS = STRESS + DDSDDE . DSTRAN with a
DDSDDE assembled only from the constant moduli, before any yield test. The
response is therefore exactly affine in DSTRAN on this branch, so every
derivative of order two and above vanishes identically -- not merely at the
points that were sampled. UMAT_PCLK.for lines 92-112: DDSDDE is built from EMOD=PROPS(1) and ENU=PROPS(2), then STRESS(K2)=STRESS(K2)+DDSDDE(K2,K1)*DSTRAN(K1) is applied before SMISES and the yield test. Branch consistency was verified at every stencil node of every admissible step, so the cited branch is the branch that was sampled."
1,elastic,2,3,1|1|1,repeated,6,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,5e-06,2e-05,19.59375,3.4168937329700273,9,6,3,True,strong,source_affine_branch,False,True,0.206344907496967,,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: source_affine_branch -- In the elastic branch the update is STRESS = STRESS + DDSDDE . DSTRAN with a
DDSDDE assembled only from the constant moduli, before any yield test. The
response is therefore exactly affine in DSTRAN on this branch, so every
derivative of order two and above vanishes identically -- not merely at the
points that were sampled. UMAT_PCLK.for lines 92-112: DDSDDE is built from EMOD=PROPS(1) and ENU=PROPS(2), then STRESS(K2)=STRESS(K2)+DDSDDE(K2,K1)*DSTRAN(K1) is applied before SMISES and the yield test. Branch consistency was verified at every stencil node of every admissible step, so the cited branch is the branch that was sampled."
1,elastic,3,3,1|1|1,repeated,6,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,5e-06,2e-05,45.03125,12.008333333333333,9,6,3,True,strong,source_affine_branch,False,True,0.05609506603441055,,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: source_affine_branch -- In the elastic branch the update is STRESS = STRESS + DDSDDE . DSTRAN with a
DDSDDE assembled only from the constant moduli, before any yield test. The
response is therefore exactly affine in DSTRAN on this branch, so every
derivative of order two and above vanishes identically -- not merely at the
points that were sampled. UMAT_PCLK.for lines 92-112: DDSDDE is built from EMOD=PROPS(1) and ENU=PROPS(2), then STRESS(K2)=STRESS(K2)+DDSDDE(K2,K1)*DSTRAN(K1) is applied before SMISES and the yield test. Branch consistency was verified at every stencil node of every admissible step, so the cited branch is the branch that was sampled."
1,elastic,4,3,1|1|1,repeated,6,0.0,0.0,0.0,0.0,expected_zero_independently_supported,6,2.5e-06,8e-05,0.0,0.0,9,6,3,True,strong,source_affine_branch,True,True,0.0,,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: source_affine_branch -- In the elastic branch the update is STRESS = STRESS + DDSDDE . DSTRAN with a
DDSDDE assembled only from the constant moduli, before any yield test. The
response is therefore exactly affine in DSTRAN on this branch, so every
derivative of order two and above vanishes identically -- not merely at the
points that were sampled. UMAT_PCLK.for lines 92-112: DDSDDE is built from EMOD=PROPS(1) and ENU=PROPS(2), then STRESS(K2)=STRESS(K2)+DDSDDE(K2,K1)*DSTRAN(K1) is applied before SMISES and the yield test. Branch consistency was verified at every stencil node of every admissible step, so the cited branch is the branch that was sampled."
1,elastic,1,4,1|1|1|1,repeated,24,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,2.5e-06,1e-05,2511470592.0,17.941011235955056,9,6,3,True,strong,source_affine_branch,False,True,0.0,,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: source_affine_branch -- In the elastic branch the update is STRESS = STRESS + DDSDDE . DSTRAN with a
DDSDDE assembled only from the constant moduli, before any yield test. The
response is therefore exactly affine in DSTRAN on this branch, so every
derivative of order two and above vanishes identically -- not merely at the
points that were sampled. UMAT_PCLK.for lines 92-112: DDSDDE is built from EMOD=PROPS(1) and ENU=PROPS(2), then STRESS(K2)=STRESS(K2)+DDSDDE(K2,K1)*DSTRAN(K1) is applied before SMISES and the yield test. Branch consistency was verified at every stencil node of every admissible step, so the cited branch is the branch that was sampled."
1,elastic,2,4,1|1|1|1,repeated,24,0.0,0.0,0.0,0.0,expected_zero_independently_supported,3,1e-05,4e-05,374464.0,16.804164422904325,9,6,3,True,strong,source_affine_branch,False,True,0.206344907496967,,0.0,,,True,True,"Derivative is zero on evidence independent of the OTI result: source_affine_branch -- In the elastic branch the update is STRESS = STRESS + DDSDDE . DSTRAN with a
DDSDDE assembled only from the constant moduli, before any yield test. The
response is therefore exactly affine in DSTRAN on this branch, so every
derivative of order two and above vanishes identically -- not merely at the
points that were sampled. UMAT_PCLK.for lines 92-112: DDSDDE is built from EMOD=PROPS(1) and ENU=PROPS(2), then STRESS(K2)=STRESS(K2)+DDSDDE(K2,K1)*DSTRAN(K1) is applied before SMISES and the yield test. Branch consistency was verified at every stencil node of every admissible step, so the cited branch is the branch that was sampled."
